user_id,user_type,vehicle_model,vehicle_age_years,station_id,station_location,charger_type,start_time,end_time,duration_hours,energy_consumed_kwh,charging_cost_usd,charging_rate_kw,soc_start_percent,soc_end_percent,time_of_day,day_of_week,distance_driven_km,temperature_c,battery_capacity_kwh,energy_per_duration,distance_per_duration,charging_cost_per_kwh,soc_diff,temperature_adjusted_energy
User_1,Commuter,BMW i3,2.0,Station_391,Houston,DC Fast Charger,2024-01-01 00:00:00,2024-01-01 00:39:00,0.5913634253585007,60.71234573492677,13.087716791774506,36.3891805669814,29.371575979140047,86.11996244457839,Evening,Tuesday,293.6021106383279,27.947953055800944,108.46300741284072,102.66503326295718,496.4833773078513,0.2155692822167694,56.748386465438344,2.0972932220076435
User_2,Casual Driver,Hyundai Kona,3.0,Station_428,San Francisco,Level 1,2024-01-01 01:00:00,2024-01-01 03:01:00,3.133652052688084,12.339275203733752,21.12844792913739,30.677734939714437,10.115777641679946,84.66434362786444,Morning,Monday,112.11280368218186,14.311025660377789,100.0,3.9376660191577346,35.77704282324841,1.7122924629109588,74.5485659861845,0.8059078129341526
User_3,Commuter,Chevy Bolt,2.0,Station_181,San Francisco,Level 2,2024-01-01 02:00:00,2024-01-01 04:48:00,2.4526527258367823,19.128875700115476,35.66727042356739,27.513592558773237,6.854604444398554,69.91761524016282,Morning,Thursday,71.79925292594801,21.00200183614421,75.0,7.799259756021592,29.274121105527463,1.864577457803862,63.063010795764264,0.8694152396938332
User_4,Long-Distance Traveler,Hyundai Kona,1.0,Station_327,Houston,Level 1,2024-01-01 03:00:00,2024-01-01 06:42:00,1.266430804620451,79.45782398845503,13.036238833914622,32.882869757386224,83.12000296074223,99.62432763119423,Evening,Saturday,199.5777845163286,38.316313160363435,50.0,62.74154395057416,157.59075331094934,0.16406488599296082,16.504324670452007,2.0209886838667286
User_5,Long-Distance Traveler,Hyundai Kona,1.0,Station_108,Los Angeles,Level 1,2024-01-01 04:00:00,2024-01-01 05:46:00,2.0197650865894614,19.62910416772725,10.161471171031415,10.215712071204608,54.25894969116981,63.743786036169695,Morning,Saturday,203.66184655799864,-7.834199027249213,50.0,9.718508502824255,100.83442273076338,0.5176737096203387,9.484836344999884,2.221944978506936
User_6,Long-Distance Traveler,Nissan Leaf,0.0,Station_335,San Francisco,DC Fast Charger,2024-01-01 05:00:00,2024-01-01 07:10:00,1.1676401541014236,43.18113714248533,36.90034077796173,14.33452277611833,75.21774833696946,71.98228757123687,Evening,Saturday,143.68004610728445,-5.274217796522686,50.0,36.98154520535145,123.05164874862989,0.8545476849347718,-3.235460765732597,6.882314025888183
User_7,Commuter,Chevy Bolt,4.0,Station_162,Houston,Level 2,2024-01-01 06:00:00,2024-01-01 07:53:00,3.5396190263161467,36.862139988267536,22.21422517569784,26.185187860033516,60.75178075976676,70.79609690147149,Evening,Friday,81.33800890802773,27.5513346806664,85.0,10.414154663032127,22.979311700864073,0.6026298305732704,10.044316141704726,1.29108290034612
User_8,Long-Distance Traveler,Chevy Bolt,0.0,Station_302,Los Angeles,Level 2,2024-01-01 07:00:00,2024-01-01 10:42:00,2.6553964456130235,51.46761685839947,9.796821321322032,26.7029077655282,56.201703032995454,63.786815331776616,Afternoon,Monday,116.54316578116932,-4.41745966595273,75.0,19.382272256720476,43.88917744230249,0.1903492316008255,7.585112298781162,9.50032303551045
User_9,Commuter,Chevy Bolt,4.0,Station_493,Los Angeles,Level 1,2024-01-01 08:00:00,2024-01-01 09:21:00,1.724203599132774,43.59237228216989,32.465005072088225,14.294922926661108,33.46620026326066,92.96142090358896,Evening,Wednesday,208.25974249443672,22.51670642679634,62.0,25.28261297221258,120.78605020844726,0.7447404986804774,59.4952206403283,1.8536767645531407
User_10,Commuter,Hyundai Kona,2.830381306943589,Station_452,Chicago,DC Fast Charger,2024-01-01 09:00:00,2024-01-01 12:44:00,2.0268746909843576,78.86860745126785,21.312302451155745,11.76099971515701,27.399454625609152,70.05338137780706,Morning,Wednesday,54.00630919992556,27.51201936462591,50.0,38.91143729904935,26.645114984240706,0.2702254184508635,42.653926752197904,2.766152984208407
