user_id,user_type,vehicle_model,vehicle_age_years,station_id,station_location,charger_type,start_time,end_time,duration_hours,energy_consumed_kwh,charging_cost_usd,charging_rate_kw,soc_start_percent,soc_end_percent,time_of_day,day_of_week,distance_driven_km,temperature_c,battery_capacity_kwh,battery_capacity_kwh,charging_cost_usd,duration_hours,soc_end_percent,soc_start_percent,temperature_c,vehicle_age_years,battery_capacity_kwh^2,battery_capacity_kwh charging_cost_usd,battery_capacity_kwh duration_hours,battery_capacity_kwh soc_end_percent,battery_capacity_kwh soc_start_percent,battery_capacity_kwh temperature_c,battery_capacity_kwh vehicle_age_years,charging_cost_usd^2,charging_cost_usd duration_hours,charging_cost_usd soc_end_percent,charging_cost_usd soc_start_percent,charging_cost_usd temperature_c,charging_cost_usd vehicle_age_years,duration_hours^2,duration_hours soc_end_percent,duration_hours soc_start_percent,duration_hours temperature_c,duration_hours vehicle_age_years,soc_end_percent^2,soc_end_percent soc_start_percent,soc_end_percent temperature_c,soc_end_percent vehicle_age_years,soc_start_percent^2,soc_start_percent temperature_c,soc_start_percent vehicle_age_years,temperature_c^2,temperature_c vehicle_age_years,vehicle_age_years^2
User_1,Commuter,BMW i3,2.0,Station_391,Houston,DC Fast Charger,2024-01-01 00:00:00,2024-01-01 00:39:00,0.5913634253585007,60.71234573492677,13.087716791774506,36.3891805669814,29.371575979140047,86.11996244457839,Evening,Tuesday,293.6021106383279,27.947953055800944,108.46300741284072,108.46300741284072,13.087716791774506,0.5913634253585007,86.11996244457839,29.371575979140047,27.947953055800944,2.0,11764.223977037942,1419.5331234033983,64.14105558834194,9340.830125019871,3185.7294631522814,3031.3190394650624,216.92601482568145,171.28833082169638,7.739597032105739,1127.1136785928984,384.4068681430719,365.7748945041316,26.17543358354901,0.34971070085173905,50.92819598297132,17.36927577920172,16.527397250837023,1.1827268507170015,7416.647931455593,2529.479020261622,2406.8766675684174,172.23992488915678,862.6894754983966,820.8754266398967,58.743151958280095,781.0880800092533,55.89590611160189,4.0
User_2,Casual Driver,Hyundai Kona,3.0,Station_428,San Francisco,Level 1,2024-01-01 01:00:00,2024-01-01 03:01:00,3.133652052688084,12.339275203733752,21.12844792913739,30.677734939714437,10.115777641679946,84.66434362786444,Morning,Monday,112.11280368218186,14.311025660377789,100.0,100.0,21.12844792913739,3.133652052688084,84.66434362786444,10.115777641679946,14.311025660377789,3.0,10000.0,2112.844792913739,313.36520526880844,8466.434362786444,1011.5777641679946,1431.1025660377788,300.0,446.4113118942701,66.20920422325469,1788.8261757959287,213.73068116496697,302.36976047784117,63.38534378741217,9.819775187316244,265.3085941989467,31.69932737138659,44.845774936714704,9.400956158064252,7168.05108193711,856.4456743182591,1211.6335941774107,253.99303088359332,102.32895729591189,144.7671534047576,30.347332925039836,204.80545545199152,42.93307698113337,9.0
User_3,Commuter,Chevy Bolt,2.0,Station_181,San Francisco,Level 2,2024-01-01 02:00:00,2024-01-01 04:48:00,2.4526527258367823,19.128875700115476,35.66727042356739,27.513592558773237,6.854604444398554,69.91761524016282,Morning,Thursday,71.79925292594801,21.00200183614421,75.0,75.0,35.66727042356739,2.4526527258367823,69.91761524016282,6.854604444398554,21.00200183614421,2.0,5625.0,2675.045281767554,183.94895443775866,5243.821143012211,514.0953333298916,1575.1501377108157,150.0,1272.154179467885,87.4794280275202,2493.7704901418238,244.4850303649501,749.0840789260144,71.33454084713478,6.015505393554598,171.4836296027927,16.811964275087036,51.5106170514482,4.905305451673565,4888.472920871448,479.2575961669681,1468.409883652724,139.83523048032563,46.9856020891684,143.96041512730068,13.709208888797107,441.08408112540474,42.00400367228842,4.0
User_4,Long-Distance Traveler,Hyundai Kona,1.0,Station_327,Houston,Level 1,2024-01-01 03:00:00,2024-01-01 06:42:00,1.266430804620451,79.45782398845503,13.036238833914622,32.882869757386224,83.12000296074223,99.62432763119423,Evening,Saturday,199.5777845163286,38.316313160363435,50.0,50.0,13.036238833914622,1.266430804620451,99.62432763119423,83.12000296074223,38.316313160363435,1.0,2500.0,651.8119416957311,63.32154023102255,4981.216381559711,4156.000148037111,1915.8156580181717,50.0,169.94352293486367,16.509494435658866,1298.7265286684078,1083.5722104719262,499.5006095935637,13.036238833914622,1.603846982891603,126.16731740174475,105.26573222962706,48.52495930576824,1.266430804620451,9925.00665596753,8280.774407666819,3817.2369359074864,99.62432763119423,6908.934892193796,3184.852063334135,83.12000296074223,1468.1398542030402,38.316313160363435,1.0
User_5,Long-Distance Traveler,Hyundai Kona,1.0,Station_108,Los Angeles,Level 1,2024-01-01 04:00:00,2024-01-01 05:46:00,2.0197650865894614,19.62910416772725,10.161471171031415,10.215712071204608,54.25894969116981,63.743786036169695,Morning,Saturday,203.66184655799864,-7.834199027249213,50.0,50.0,10.161471171031415,2.0197650865894614,63.743786036169695,54.25894969116981,-7.834199027249213,1.0,2500.0,508.0735585515708,100.98825432947307,3187.1893018084847,2712.9474845584905,-391.70995136246063,50.0,103.25549635970256,20.523784699634582,647.7306441389333,551.3507530572659,-79.60698756351523,10.161471171031415,4.079451005005734,128.74747352288438,109.59033222123882,-15.82324167663108,2.0197650865894614,4063.2702582249826,3458.6708796612243,-499.38150655774257,63.743786036169695,2944.0336215888965,-425.0754108901265,54.25894969116981,61.37467439855251,-7.834199027249213,1.0
User_6,Long-Distance Traveler,Nissan Leaf,0.0,Station_335,San Francisco,DC Fast Charger,2024-01-01 05:00:00,2024-01-01 07:10:00,1.1676401541014236,43.18113714248533,36.90034077796173,14.33452277611833,75.21774833696946,71.98228757123687,Evening,Saturday,143.68004610728445,-5.274217796522686,50.0,50.0,36.90034077796173,1.1676401541014236,71.98228757123687,75.21774833696946,-5.274217796522686,0.0,2500.0,1845.0170388980864,58.38200770507118,3599.1143785618433,3760.887416848473,-263.7108898261343,0.0,1361.6351495297054,43.08631959237428,2656.1709413558797,2775.5605461851374,-194.62043402887755,0.0,1.3633835294699963,84.04940935225201,87.82726325934112,-6.15838848069622,0.0,5181.449723988241,5414.34559125266,-379.6502621426313,0.0,5657.709664883672,-396.714786893209,0.0,27.81737336515662,-0.0,0.0
User_7,Commuter,Chevy Bolt,4.0,Station_162,Houston,Level 2,2024-01-01 06:00:00,2024-01-01 07:53:00,3.5396190263161467,36.862139988267536,22.21422517569784,26.185187860033516,60.75178075976676,70.79609690147149,Evening,Friday,81.33800890802773,27.5513346806664,85.0,85.0,22.21422517569784,3.5396190263161467,70.79609690147149,60.75178075976676,27.5513346806664,4.0,7225.0,1888.2091399343165,300.8676172368725,6017.668236625076,5163.901364580174,2341.863447856644,340.0,493.4718001566078,78.62989408677123,1572.6804381298118,1349.5537376220864,612.0315524873366,88.85690070279136,12.528902851459266,250.59121158137006,215.03815905985763,97.52122843609068,14.158476105264587,5012.08733648254,4300.988957605398,1950.5269598173304,283.18438760588595,3690.778865482767,1673.7926441588038,243.00712303906704,759.0760426860911,110.2053387226656,16.0
User_8,Long-Distance Traveler,Chevy Bolt,0.0,Station_302,Los Angeles,Level 2,2024-01-01 07:00:00,2024-01-01 10:42:00,2.6553964456130235,51.46761685839947,9.796821321322032,26.7029077655282,56.201703032995454,63.786815331776616,Afternoon,Monday,116.54316578116932,-4.41745966595273,75.0,75.0,9.796821321322032,2.6553964456130235,63.786815331776616,56.201703032995454,-4.41745966595273,0.0,5625.0,734.7615990991524,199.15473342097675,4784.011149883247,4215.127727474659,-331.30947494645477,0.0,95.97770800190996,26.014444514944408,624.9080324615802,550.598042568259,-43.27706304148581,0.0,7.051130283374278,169.37928270897393,149.23780247121482,-11.730106695609773,0.0,4068.7578101701724,3584.9276526970307,-281.77568394769844,0.0,3158.6314238090104,-248.26875630611065,0.0,19.513949900319208,-0.0,0.0
User_9,Commuter,Chevy Bolt,4.0,Station_493,Los Angeles,Level 1,2024-01-01 08:00:00,2024-01-01 09:21:00,1.724203599132774,43.59237228216989,32.465005072088225,14.294922926661108,33.46620026326066,92.96142090358896,Evening,Wednesday,208.25974249443672,22.51670642679634,62.0,62.0,32.465005072088225,1.724203599132774,92.96142090358896,33.46620026326066,22.51670642679634,4.0,3844.0,2012.8303144694698,106.900623146232,5763.608096022515,2074.904416322161,1396.0357984613731,248.0,1053.9765543307142,55.97627859115828,3017.993001143544,1086.4803612902776,731.0049883526647,129.8600202883529,2.972878051262412,160.28441650246478,57.702542943212215,38.82338626169831,6.896814396531096,8641.825776414225,3111.0655287167738,2093.185023503961,371.84568361435583,1119.986560060668,753.5486065482147,133.86480105304264,507.00206831053157,90.06682570718536,16.0
User_10,Commuter,Hyundai Kona,2.830381306943589,Station_452,Chicago,DC Fast Charger,2024-01-01 09:00:00,2024-01-01 12:44:00,2.0268746909843576,78.86860745126785,21.312302451155745,11.76099971515701,27.399454625609152,70.05338137780706,Morning,Wednesday,54.00630919992556,27.51201936462591,50.0,50.0,21.312302451155745,2.0268746909843576,70.05338137780706,27.399454625609152,27.51201936462591,2.830381306943589,2500.0,1065.6151225577873,101.34373454921788,3502.6690688903527,1369.9727312804575,1375.6009682312956,141.51906534717943,454.2142357695392,43.19736644485147,1492.9988516499855,583.9454639777006,586.3444777409611,60.32194246567925,4.108221012952935,141.98942573255204,55.53526112742148,55.763415748031804,5.736828236879188,4907.476242464484,1919.4244444317176,1927.3099850237518,198.2777811399352,750.7301137808148,753.814326239948,77.55090419277319,756.9112095195511,77.86950532590721,8.011058342695698
User_11,Casual Driver,BMW i3,3.0,Station_206,Los Angeles,DC Fast Charger,2024-01-01 10:00:00,2024-01-01 13:59:00,2.6486354477276968,18.206197477378716,38.221230704051806,10.310701112892176,76.08656557040186,82.2655816267944,Night,Thursday,64.63464374887128,0.5004335643954789,50.0,50.0,38.221230704051806,2.6486354477276968,82.2655816267944,76.08656557040186,0.5004335643954789,3.0,2500.0,1911.0615352025902,132.43177238638484,4113.27908133972,3804.328278520093,25.021678219773946,150.0,1460.8624765323525,101.23410649852984,3144.291774360714,2908.1221761452944,19.127186716810566,114.66369211215542,7.015269734959697,217.89153562466396,201.52557466562408,1.3254660778905865,7.94590634318309,6767.625920394772,6259.305570634338,41.16845824056394,246.7967448803832,5789.165460299062,38.07627121100653,228.25969671120558,0.25043375237356397,1.5013006931864368,9.0
User_12,Long-Distance Traveler,Chevy Bolt,0.0,Station_78,San Francisco,DC Fast Charger,2024-01-01 11:00:00,2024-01-01 14:55:00,2.0578886215204486,22.564929484106763,14.0508613520737,4.46482262892762,14.618902372078484,85.85749415419053,Evening,Sunday,194.76380668173775,34.26261127319235,85.0,85.0,14.0508613520737,2.0578886215204486,85.85749415419053,14.618902372078484,34.26261127319235,0.0,7225.0,1194.3232149262644,174.92053282923814,7297.887003106195,1242.606701626671,2912.3219582213496,0.0,197.42670473519834,28.915107698993893,1206.3717463970092,205.4081703495761,481.419200559623,0.0,4.234905578583332,176.68516029216713,30.084072850618607,70.50863788268079,0.0,7371.509302436862,1255.1423249514105,2941.7019470954147,0.0,213.7123065643619,500.88176921527463,0.0,1173.9265312578873,0.0,0.0
